tegund,argerd,aflgjafi,akstur,skipting,verd,aldur
HONDA HR-V,2005-06-01,Bensín,205000,Beinskipting,99000,14.09041095890411
CHEVROLET LACETTI,2005-06-01,Bensín,232000,Beinskipting,110000,14.09041095890411
CHEVROLET LACETTI,2005-04-01,Bensín,194000,Sjálfskipting,149000,14.257534246575343
CHEVROLET LACETTI METAN,2010-05-01,Bensín/Metan,138000,Beinskipting,150000,9.172602739726027
SUBARU FORESTER,2003-01-01,Bensín,268000,Sjálfskipting,150000,16.506849315068493
TOYOTA COROLLA XLI,1997-04-01,Bensín,274000,Beinskipting,150000,22.263013698630136
VW POLO,2003-02-01,Bensín,267000,Beinskipting,150000,16.421917808219177
MITSUBISHI PAJERO,2001-03-01,Bensín,310000,Sjálfskipting,180000,18.345205479452055
OPEL ASTRA-G-CARAVAN,2003-05-01,Bensín,260000,Beinskipting,180000,16.17808219178082
HONDA JAZZ,2003-02-01,Bensín,194000,Sjálfskipting,190000,16.421917808219177
SUBARU FORESTER,2002-04-01,Bensín,191000,Sjálfskipting,190000,17.26027397260274
SUZUKI BALENO GL,2001-10-01,Bensín,185000,Beinskipting,190000,17.75890410958904
VW GOLF,2005-06-01,Bensín,196000,Beinskipting,190000,14.09041095890411
TOYOTA COROLLA XLI,1995-01-01,Bensín,200000,Sjálfskipting,195000,24.512328767123286
CHRYSLER GRAND CARAVAN,2004-01-01,Bensín,312000,Sjálfskipting,199000,15.506849315068493
HYUNDAI TUCSON,2005-04-01,Dísel,205000,Sjálfskipting,199000,14.257534246575343
TOYOTA RAV4,2000-04-01,Bensín,380000,Beinskipting,199000,19.26027397260274
TOYOTA COROLLA,2004-11-01,Bensín,244000,Beinskipting,199000,14.67123287671233
CHEVROLET LACETTI,2007-07-01,Bensín,168000,Beinskipting,200000,12.008219178082191
TOYOTA YARIS,2005-05-01,Bensín,202000,Beinskipting,200000,14.175342465753424
CHEVROLET MATIZ,2006-01-01,Bensín,93000,Beinskipting,220000,13.504109589041096
SUBARU FORESTER,1999-03-01,Bensín,209000,Sjálfskipting,220000,20.34794520547945
SUBARU FORESTER,1999-03-01,Bensín,210000,Sjálfskipting,220000,20.34794520547945
TOYOTA YARIS,2005-01-01,Bensín,231000,Beinskipting,230000,14.504109589041096
VW GOLF STW,2003-03-01,Bensín,220000,Beinskipting,240000,16.345205479452055
